date,Val_cat,value,trip_time_index
2021-11-01,00-4min,112,
2021-11-01,05-9min,221,
2021-11-01,10-14min,68,
2021-11-01,15-19min,47,
2021-11-01,20 min up,113,
2021-11-02,00-4min,143,
2021-11-02,05-9min,223,
2021-11-02,10-14min,77,
2021-11-02,15-19min,35,
2021-11-02,20 min up,75,
2021-11-03,00-4min,134,
2021-11-03,05-9min,228,
2021-11-03,10-14min,49,
2021-11-03,15-19min,32,
2021-11-03,20 min up,65,
2021-11-04,00-4min,134,
2021-11-04,05-9min,246,
2021-11-04,10-14min,85,
2021-11-04,15-19min,45,
2021-11-04,20 min up,70,
2021-11-05,00-4min,152,
2021-11-05,05-9min,235,
2021-11-05,10-14min,95,
2021-11-05,15-19min,30,
2021-11-05,20 min up,88,
2021-11-06,00-4min,84,
2021-11-06,05-9min,182,
2021-11-06,10-14min,65,
2021-11-06,15-19min,37,
2021-11-06,20 min up,65,
2021-11-07,00-4min,56,
2021-11-07,05-9min,125,
2021-11-07,10-14min,51,
2021-11-07,15-19min,25,
2021-11-07,20 min up,74,
2021-11-08,00-4min,90,
2021-11-08,05-9min,133,
2021-11-08,10-14min,34,
2021-11-08,15-19min,27,
2021-11-08,20 min up,47,
2021-11-09,00-4min,136,
2021-11-09,05-9min,191,
2021-11-09,10-14min,61,
2021-11-09,15-19min,27,
2021-11-09,20 min up,71,
2021-11-10,00-4min,128,
2021-11-10,05-9min,236,
2021-11-10,10-14min,72,
2021-11-10,15-19min,38,
2021-11-10,20 min up,76,
2021-11-11,00-4min,122,
2021-11-11,05-9min,261,
2021-11-11,10-14min,73,
2021-11-11,15-19min,35,
2021-11-11,20 min up,80,
2021-11-12,00-4min,107,
2021-11-12,05-9min,185,
2021-11-12,10-14min,46,
2021-11-12,15-19min,31,
2021-11-12,20 min up,62,
2021-11-13,00-4min,55,
2021-11-13,05-9min,108,
2021-11-13,10-14min,34,
2021-11-13,15-19min,16,
2021-11-13,20 min up,59,
2021-11-14,00-4min,40,
2021-11-14,05-9min,115,
2021-11-14,10-14min,33,
2021-11-14,15-19min,21,
2021-11-14,20 min up,55,
2021-11-15,00-4min,103,
2021-11-15,05-9min,234,
2021-11-15,10-14min,95,
2021-11-15,15-19min,37,
2021-11-15,20 min up,89,
2021-11-16,00-4min,132,
2021-11-16,05-9min,227,
2021-11-16,10-14min,84,
2021-11-16,15-19min,34,
2021-11-16,20 min up,83,
2021-11-17,00-4min,137,
2021-11-17,05-9min,259,
2021-11-17,10-14min,57,
2021-11-17,15-19min,43,
2021-11-17,20 min up,74,
2021-11-18,00-4min,109,
2021-11-18,05-9min,185,
2021-11-18,10-14min,55,
2021-11-18,15-19min,33,
2021-11-18,20 min up,66,
2021-11-19,00-4min,116,
2021-11-19,05-9min,247,
2021-11-19,10-14min,81,
2021-11-19,15-19min,31,
2021-11-19,20 min up,93,
2021-11-20,00-4min,61,
2021-11-20,05-9min,129,
2021-11-20,10-14min,22,
2021-11-20,15-19min,14,
2021-11-20,20 min up,41,
2021-11-21,00-4min,68,
2021-11-21,05-9min,160,
2021-11-21,10-14min,61,
2021-11-21,15-19min,31,
2021-11-21,20 min up,58,
2021-11-22,00-4min,95,
2021-11-22,05-9min,182,
2021-11-22,10-14min,55,
2021-11-22,15-19min,24,
2021-11-22,20 min up,58,
2021-11-23,00-4min,66,
2021-11-23,05-9min,110,
2021-11-23,10-14min,27,
2021-11-23,15-19min,20,
2021-11-23,20 min up,34,
2021-11-24,00-4min,107,
2021-11-24,05-9min,199,
2021-11-24,10-14min,68,
2021-11-24,15-19min,35,
2021-11-24,20 min up,48,
2021-11-25,00-4min,114,
2021-11-25,05-9min,231,
2021-11-25,10-14min,54,
2021-11-25,15-19min,25,
2021-11-25,20 min up,57,
2021-11-26,00-4min,69,
2021-11-26,05-9min,110,
2021-11-26,10-14min,33,
2021-11-26,15-19min,24,
2021-11-26,20 min up,38,
2021-11-27,00-4min,34,
2021-11-27,05-9min,63,
2021-11-27,10-14min,15,
2021-11-27,15-19min,3,
2021-11-27,20 min up,18,
2021-11-28,00-4min,73,
2021-11-28,05-9min,140,
2021-11-28,10-14min,49,
2021-11-28,15-19min,26,
2021-11-28,20 min up,71,
2021-11-29,00-4min,128,
2021-11-29,05-9min,239,
2021-11-29,10-14min,75,
2021-11-29,15-19min,39,
2021-11-29,20 min up,95,
2021-11-30,00-4min,124,
2021-11-30,05-9min,179,
2021-11-30,10-14min,50,
2021-11-30,15-19min,23,
2021-11-30,20 min up,46,
