date,Val_cat,value,trip_time_index
2021-11-01,00-4min,23,
2021-11-01,05-9min,92,
2021-11-01,10-14min,48,
2021-11-01,15-19min,21,
2021-11-01,20 min up,49,
2021-11-02,00-4min,25,
2021-11-02,05-9min,98,
2021-11-02,10-14min,43,
2021-11-02,15-19min,19,
2021-11-02,20 min up,51,
2021-11-03,00-4min,35,
2021-11-03,05-9min,87,
2021-11-03,10-14min,43,
2021-11-03,15-19min,28,
2021-11-03,20 min up,38,
2021-11-04,00-4min,21,
2021-11-04,05-9min,103,
2021-11-04,10-14min,58,
2021-11-04,15-19min,21,
2021-11-04,20 min up,53,
2021-11-05,00-4min,23,
2021-11-05,05-9min,94,
2021-11-05,10-14min,79,
2021-11-05,15-19min,30,
2021-11-05,20 min up,80,
2021-11-06,00-4min,15,
2021-11-06,05-9min,81,
2021-11-06,10-14min,42,
2021-11-06,15-19min,28,
2021-11-06,20 min up,102,
2021-11-07,00-4min,17,
2021-11-07,05-9min,96,
2021-11-07,10-14min,31,
2021-11-07,15-19min,22,
2021-11-07,20 min up,65,
2021-11-08,00-4min,42,
2021-11-08,05-9min,90,
2021-11-08,10-14min,28,
2021-11-08,15-19min,17,
2021-11-08,20 min up,37,
2021-11-09,00-4min,21,
2021-11-09,05-9min,91,
2021-11-09,10-14min,40,
2021-11-09,15-19min,29,
2021-11-09,20 min up,62,
2021-11-10,00-4min,18,
2021-11-10,05-9min,59,
2021-11-10,10-14min,24,
2021-11-10,15-19min,4,
2021-11-10,20 min up,25,
2021-11-11,00-4min,36,
2021-11-11,05-9min,96,
2021-11-11,10-14min,59,
2021-11-11,15-19min,24,
2021-11-11,20 min up,61,
2021-11-12,00-4min,31,
2021-11-12,05-9min,75,
2021-11-12,10-14min,42,
2021-11-12,15-19min,16,
2021-11-12,20 min up,48,
2021-11-13,00-4min,19,
2021-11-13,05-9min,59,
2021-11-13,10-14min,31,
2021-11-13,15-19min,22,
2021-11-13,20 min up,40,
2021-11-14,00-4min,23,
2021-11-14,05-9min,80,
2021-11-14,10-14min,45,
2021-11-14,15-19min,24,
2021-11-14,20 min up,50,
2021-11-15,00-4min,36,
2021-11-15,05-9min,69,
2021-11-15,10-14min,64,
2021-11-15,15-19min,23,
2021-11-15,20 min up,69,
2021-11-16,00-4min,29,
2021-11-16,05-9min,102,
2021-11-16,10-14min,59,
2021-11-16,15-19min,30,
2021-11-16,20 min up,47,
2021-11-17,00-4min,37,
2021-11-17,05-9min,94,
2021-11-17,10-14min,58,
2021-11-17,15-19min,25,
2021-11-17,20 min up,65,
2021-11-18,00-4min,31,
2021-11-18,05-9min,96,
2021-11-18,10-14min,45,
2021-11-18,15-19min,23,
2021-11-18,20 min up,50,
2021-11-19,00-4min,33,
2021-11-19,05-9min,103,
2021-11-19,10-14min,61,
2021-11-19,15-19min,28,
2021-11-19,20 min up,67,
2021-11-20,00-4min,23,
2021-11-20,05-9min,69,
2021-11-20,10-14min,33,
2021-11-20,15-19min,23,
2021-11-20,20 min up,39,
2021-11-21,00-4min,23,
2021-11-21,05-9min,73,
2021-11-21,10-14min,48,
2021-11-21,15-19min,19,
2021-11-21,20 min up,86,
2021-11-22,00-4min,18,
2021-11-22,05-9min,68,
2021-11-22,10-14min,52,
2021-11-22,15-19min,16,
2021-11-22,20 min up,43,
2021-11-23,00-4min,16,
2021-11-23,05-9min,62,
2021-11-23,10-14min,26,
2021-11-23,15-19min,19,
2021-11-23,20 min up,39,
2021-11-24,00-4min,32,
2021-11-24,05-9min,74,
2021-11-24,10-14min,53,
2021-11-24,15-19min,20,
2021-11-24,20 min up,57,
2021-11-25,00-4min,22,
2021-11-25,05-9min,93,
2021-11-25,10-14min,33,
2021-11-25,15-19min,29,
2021-11-25,20 min up,70,
2021-11-26,00-4min,16,
2021-11-26,05-9min,67,
2021-11-26,10-14min,38,
2021-11-26,15-19min,26,
2021-11-26,20 min up,37,
2021-11-27,00-4min,12,
2021-11-27,05-9min,32,
2021-11-27,10-14min,19,
2021-11-27,15-19min,9,
2021-11-27,20 min up,14,
2021-11-28,00-4min,22,
2021-11-28,05-9min,56,
2021-11-28,10-14min,32,
2021-11-28,15-19min,23,
2021-11-28,20 min up,62,
2021-11-29,00-4min,28,
2021-11-29,05-9min,105,
2021-11-29,10-14min,60,
2021-11-29,15-19min,22,
2021-11-29,20 min up,73,
2021-11-30,00-4min,19,
2021-11-30,05-9min,86,
2021-11-30,10-14min,44,
2021-11-30,15-19min,19,
2021-11-30,20 min up,45,
