,index,rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count,count_nor
0,0,94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,117,1.0
1,1,391,315,景仁公園,24.9966,121.540295,捷運萬隆站(1號出口),25.001447,121.539037,103,0.86
2,2,315,391,捷運萬隆站(1號出口),25.001447,121.539037,景仁公園,24.9966,121.540295,91,0.74
3,3,388,94,景華街128巷口,24.995563,121.547092,捷運景美站,24.993254,121.541059,78,0.61
4,4,369,94,世新大學,24.98862,121.54361,捷運景美站,24.993254,121.541059,57,0.4
5,5,315,296,捷運萬隆站(1號出口),25.001447,121.539037,萬和二號公園,25.001545,121.536446,26,0.09
6,6,94,69,捷運景美站,24.993254,121.541059,興豐公園,24.999837,121.547778,25,0.08
7,7,94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,25,0.08
8,8,143,141,捷運動物園站(2號出口),24.997659,121.578752,文山行政中心,24.989902,121.569984,17,0.0
9,9,66,315,師範大學公館校區,25.007528,121.537188,捷運萬隆站(1號出口),25.001447,121.539037,17,0.0
