,index,rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count,count_nor
0,0,315,391,捷運萬隆站(1號出口),25.001447,121.539037,景仁公園,24.9966,121.540295,169,1.0
1,1,391,315,景仁公園,24.9966,121.540295,捷運萬隆站(1號出口),25.001447,121.539037,148,0.852112676056338
2,2,94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,129,0.7183098591549296
3,3,388,94,景華街128巷口,24.995563,121.547092,捷運景美站,24.993254,121.541059,119,0.647887323943662
4,4,369,94,世新大學,24.98862,121.54361,捷運景美站,24.993254,121.541059,85,0.4084507042253521
5,5,315,296,捷運萬隆站(1號出口),25.001447,121.539037,萬和二號公園,25.001545,121.536446,56,0.20422535211267606
6,6,94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,53,0.18309859154929578
7,7,315,66,捷運萬隆站(1號出口),25.001447,121.539037,師範大學公館校區,25.007528,121.537188,33,0.04225352112676056
8,8,315,69,捷運萬隆站(1號出口),25.001447,121.539037,興豐公園,24.999837,121.547778,30,0.02112676056338028
9,9,94,69,捷運景美站,24.993254,121.541059,興豐公園,24.999837,121.547778,27,0.0
