rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count
66,104,師範大學公館校區,25.007528,121.537188,台北花木批發市場,25.004023,121.54074,2
66,143,師範大學公館校區,25.007528,121.537188,捷運動物園站(2號出口),24.997659,121.578752,2
66,296,師範大學公館校區,25.007528,121.537188,萬和二號公園,25.001545,121.536446,4
66,315,師範大學公館校區,25.007528,121.537188,捷運萬隆站(1號出口),25.001447,121.539037,24
66,391,師範大學公館校區,25.007528,121.537188,景仁公園,24.9966,121.540295,8
69,66,興豐公園,24.999837,121.547778,師範大學公館校區,25.007528,121.537188,2
69,94,興豐公園,24.999837,121.547778,捷運景美站,24.993254,121.541059,6
69,98,興豐公園,24.999837,121.547778,羅斯福景隆街口,24.999378,121.540197,5
69,296,興豐公園,24.999837,121.547778,萬和二號公園,25.001545,121.536446,3
69,315,興豐公園,24.999837,121.547778,捷運萬隆站(1號出口),25.001447,121.539037,12
69,388,興豐公園,24.999837,121.547778,景華街128巷口,24.995563,121.547092,2
94,69,捷運景美站,24.993254,121.541059,興豐公園,24.999837,121.547778,25
94,98,捷運景美站,24.993254,121.541059,羅斯福景隆街口,24.999378,121.540197,7
94,104,捷運景美站,24.993254,121.541059,台北花木批發市場,25.004023,121.54074,2
94,151,捷運景美站,24.993254,121.541059,考試院,24.987507,121.549827,17
94,205,捷運景美站,24.993254,121.541059,木柵光輝路口,24.988241,121.55561,4
94,272,捷運景美站,24.993254,121.541059,忠順區民活動中心,24.984707,121.563125,2
94,315,捷運景美站,24.993254,121.541059,捷運萬隆站(1號出口),25.001447,121.539037,12
94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,49
94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,124
94,391,捷運景美站,24.993254,121.541059,景仁公園,24.9966,121.540295,4
98,69,羅斯福景隆街口,24.999378,121.540197,興豐公園,24.999837,121.547778,11
98,94,羅斯福景隆街口,24.999378,121.540197,捷運景美站,24.993254,121.541059,4
98,104,羅斯福景隆街口,24.999378,121.540197,台北花木批發市場,25.004023,121.54074,2
98,296,羅斯福景隆街口,24.999378,121.540197,萬和二號公園,25.001545,121.536446,2
98,315,羅斯福景隆街口,24.999378,121.540197,捷運萬隆站(1號出口),25.001447,121.539037,4
98,391,羅斯福景隆街口,24.999378,121.540197,景仁公園,24.9966,121.540295,4
104,69,台北花木批發市場,25.004023,121.54074,興豐公園,24.999837,121.547778,2
104,94,台北花木批發市場,25.004023,121.54074,捷運景美站,24.993254,121.541059,2
104,388,台北花木批發市場,25.004023,121.54074,景華街128巷口,24.995563,121.547092,4
141,142,文山行政中心,24.989902,121.569984,捷運木柵站,24.997996,121.57444,12
141,171,文山行政中心,24.989902,121.569984,文山運動中心,24.996842,121.559651,2
141,205,文山行政中心,24.989902,121.569984,木柵光輝路口,24.988241,121.55561,2
141,262,文山行政中心,24.989902,121.569984,永安藝文館-表演36房,24.984144,121.569064,2
141,272,文山行政中心,24.989902,121.569984,忠順區民活動中心,24.984707,121.563125,4
142,94,捷運木柵站,24.997996,121.57444,捷運景美站,24.993254,121.541059,3
142,141,捷運木柵站,24.997996,121.57444,文山行政中心,24.989902,121.569984,5
142,151,捷運木柵站,24.997996,121.57444,考試院,24.987507,121.549827,4
