,index,rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count,count_nor
0,0,391,315,景仁公園,24.9966,121.540295,捷運萬隆站(1號出口),25.001447,121.539037,182,1.0
1,1,315,391,捷運萬隆站(1號出口),25.001447,121.539037,景仁公園,24.9966,121.540295,180,0.9866666666666667
2,2,388,94,景華街128巷口,24.995563,121.547092,捷運景美站,24.993254,121.541059,121,0.5933333333333334
3,3,94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,100,0.4533333333333333
4,4,369,94,世新大學,24.98862,121.54361,捷運景美站,24.993254,121.541059,68,0.24
5,5,94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,55,0.15333333333333332
6,6,315,66,捷運萬隆站(1號出口),25.001447,121.539037,師範大學公館校區,25.007528,121.537188,50,0.12
7,7,315,296,捷運萬隆站(1號出口),25.001447,121.539037,萬和二號公園,25.001545,121.536446,46,0.09333333333333334
8,8,66,315,師範大學公館校區,25.007528,121.537188,捷運萬隆站(1號出口),25.001447,121.539037,32,0.0
9,9,315,69,捷運萬隆站(1號出口),25.001447,121.539037,興豐公園,24.999837,121.547778,32,0.0
