rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count
66,69,師範大學公館校區,25.007528,121.537188,興豐公園,24.999837,121.547778,3
66,94,師範大學公館校區,25.007528,121.537188,捷運景美站,24.993254,121.541059,6
66,171,師範大學公館校區,25.007528,121.537188,文山運動中心,24.996842,121.559651,2
66,296,師範大學公館校區,25.007528,121.537188,萬和二號公園,25.001545,121.536446,7
66,315,師範大學公館校區,25.007528,121.537188,捷運萬隆站(1號出口),25.001447,121.539037,20
66,391,師範大學公館校區,25.007528,121.537188,景仁公園,24.9966,121.540295,2
69,66,興豐公園,24.999837,121.547778,師範大學公館校區,25.007528,121.537188,6
69,94,興豐公園,24.999837,121.547778,捷運景美站,24.993254,121.541059,8
69,98,興豐公園,24.999837,121.547778,羅斯福景隆街口,24.999378,121.540197,6
69,104,興豐公園,24.999837,121.547778,台北花木批發市場,25.004023,121.54074,2
69,206,興豐公園,24.999837,121.547778,捷運辛亥站,25.005386,121.55716,5
69,247,興豐公園,24.999837,121.547778,木柵公園,24.987144,121.560627,2
69,315,興豐公園,24.999837,121.547778,捷運萬隆站(1號出口),25.001447,121.539037,16
69,369,興豐公園,24.999837,121.547778,世新大學,24.98862,121.54361,2
69,388,興豐公園,24.999837,121.547778,景華街128巷口,24.995563,121.547092,4
94,66,捷運景美站,24.993254,121.541059,師範大學公館校區,25.007528,121.537188,2
94,69,捷運景美站,24.993254,121.541059,興豐公園,24.999837,121.547778,16
94,98,捷運景美站,24.993254,121.541059,羅斯福景隆街口,24.999378,121.540197,12
94,104,捷運景美站,24.993254,121.541059,台北花木批發市場,25.004023,121.54074,8
94,151,捷運景美站,24.993254,121.541059,考試院,24.987507,121.549827,16
94,171,捷運景美站,24.993254,121.541059,文山運動中心,24.996842,121.559651,3
94,262,捷運景美站,24.993254,121.541059,永安藝文館-表演36房,24.984144,121.569064,3
94,296,捷運景美站,24.993254,121.541059,萬和二號公園,25.001545,121.536446,6
94,315,捷運景美站,24.993254,121.541059,捷運萬隆站(1號出口),25.001447,121.539037,2
94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,29
94,385,捷運景美站,24.993254,121.541059,和興路26巷口,24.9856,121.54531,6
94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,103
94,391,捷運景美站,24.993254,121.541059,景仁公園,24.9966,121.540295,4
98,69,羅斯福景隆街口,24.999378,121.540197,興豐公園,24.999837,121.547778,6
98,94,羅斯福景隆街口,24.999378,121.540197,捷運景美站,24.993254,121.541059,11
98,206,羅斯福景隆街口,24.999378,121.540197,捷運辛亥站,25.005386,121.55716,2
98,315,羅斯福景隆街口,24.999378,121.540197,捷運萬隆站(1號出口),25.001447,121.539037,2
104,66,台北花木批發市場,25.004023,121.54074,師範大學公館校區,25.007528,121.537188,6
104,94,台北花木批發市場,25.004023,121.54074,捷運景美站,24.993254,121.541059,6
104,296,台北花木批發市場,25.004023,121.54074,萬和二號公園,25.001545,121.536446,2
141,142,文山行政中心,24.989902,121.569984,捷運木柵站,24.997996,121.57444,4
141,151,文山行政中心,24.989902,121.569984,考試院,24.987507,121.549827,2
141,171,文山行政中心,24.989902,121.569984,文山運動中心,24.996842,121.559651,2
141,262,文山行政中心,24.989902,121.569984,永安藝文館-表演36房,24.984144,121.569064,10
141,272,文山行政中心,24.989902,121.569984,忠順區民活動中心,24.984707,121.563125,4
141,383,文山行政中心,24.989902,121.569984,一壽橋,24.97848,121.55545,2
142,94,捷運木柵站,24.997996,121.57444,捷運景美站,24.993254,121.541059,2
142,141,捷運木柵站,24.997996,121.57444,文山行政中心,24.989902,121.569984,4
142,262,捷運木柵站,24.997996,121.57444,永安藝文館-表演36房,24.984144,121.569064,2
142,272,捷運木柵站,24.997996,121.57444,忠順區民活動中心,24.984707,121.563125,4
142,335,捷運木柵站,24.997996,121.57444,景文中學,24.986301,121.567855,8
143,141,捷運動物園站(2號出口),24.997659,121.578752,文山行政中心,24.989902,121.569984,9
143,262,捷運動物園站(2號出口),24.997659,121.578752,永安藝文館-表演36房,24.984144,121.569064,2
151,94,考試院,24.987507,121.549827,捷運景美站,24.993254,121.541059,13
151,166,考試院,24.987507,121.549827,臺北市立景美女中,24.980602,121.556177,3
151,262,考試院,24.987507,121.549827,永安藝文館-表演36房,24.984144,121.569064,5
151,369,考試院,24.987507,121.549827,世新大學,24.98862,121.54361,4
151,385,考試院,24.987507,121.549827,和興路26巷口,24.9856,121.54531,2
166,141,臺北市立景美女中,24.980602,121.556177,文山行政中心,24.989902,121.569984,4
166,205,臺北市立景美女中,24.980602,121.556177,木柵光輝路口,24.988241,121.55561,2
166,272,臺北市立景美女中,24.980602,121.556177,忠順區民活動中心,24.984707,121.563125,7
171,141,文山運動中心,24.996842,121.559651,文山行政中心,24.989902,121.569984,2
171,143,文山運動中心,24.996842,121.559651,捷運動物園站(2號出口),24.997659,121.578752,2
171,151,文山運動中心,24.996842,121.559651,考試院,24.987507,121.549827,2
