,index,rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count,count_nor
0,0,391,315,景仁公園,24.9966,121.540295,捷運萬隆站(1號出口),25.001447,121.539037,141,1.0
1,1,315,391,捷運萬隆站(1號出口),25.001447,121.539037,景仁公園,24.9966,121.540295,139,0.9836065573770492
2,2,94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,103,0.6885245901639344
3,3,388,94,景華街128巷口,24.995563,121.547092,捷運景美站,24.993254,121.541059,100,0.6639344262295082
4,4,369,94,世新大學,24.98862,121.54361,捷運景美站,24.993254,121.541059,49,0.2459016393442623
5,5,94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,29,0.08196721311475409
6,6,315,66,捷運萬隆站(1號出口),25.001447,121.539037,師範大學公館校區,25.007528,121.537188,25,0.04918032786885246
7,7,315,296,捷運萬隆站(1號出口),25.001447,121.539037,萬和二號公園,25.001545,121.536446,24,0.040983606557377046
8,8,66,315,師範大學公館校區,25.007528,121.537188,捷運萬隆站(1號出口),25.001447,121.539037,20,0.00819672131147541
9,9,296,315,萬和二號公園,25.001545,121.536446,捷運萬隆站(1號出口),25.001447,121.539037,19,0.0
