,index,rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count,count_nor
0,0,94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,284,1.0
1,1,391,315,景仁公園,24.9966,121.540295,捷運萬隆站(1號出口),25.001447,121.539037,253,0.8739837398373984
2,2,315,391,捷運萬隆站(1號出口),25.001447,121.539037,景仁公園,24.9966,121.540295,192,0.6260162601626016
3,3,369,94,世新大學,24.98862,121.54361,捷運景美站,24.993254,121.541059,157,0.483739837398374
4,4,315,69,捷運萬隆站(1號出口),25.001447,121.539037,興豐公園,24.999837,121.547778,95,0.23170731707317074
5,5,315,296,捷運萬隆站(1號出口),25.001447,121.539037,萬和二號公園,25.001545,121.536446,74,0.14634146341463414
6,6,94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,68,0.12195121951219512
7,7,66,315,師範大學公館校區,25.007528,121.537188,捷運萬隆站(1號出口),25.001447,121.539037,59,0.08536585365853659
8,8,94,69,捷運景美站,24.993254,121.541059,興豐公園,24.999837,121.547778,56,0.07317073170731707
9,9,388,94,景華街128巷口,24.995563,121.547092,捷運景美站,24.993254,121.541059,38,0.0
