,index,rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count,count_nor
0,0,388,94,景華街128巷口,24.995563,121.547092,捷運景美站,24.993254,121.541059,78,1.0
1,1,391,315,景仁公園,24.9966,121.540295,捷運萬隆站(1號出口),25.001447,121.539037,52,0.6438356164383562
2,2,69,315,興豐公園,24.999837,121.547778,捷運萬隆站(1號出口),25.001447,121.539037,33,0.3835616438356164
3,3,315,391,捷運萬隆站(1號出口),25.001447,121.539037,景仁公園,24.9966,121.540295,31,0.3561643835616438
4,4,94,151,捷運景美站,24.993254,121.541059,考試院,24.987507,121.549827,11,0.0821917808219178
5,5,143,141,捷運動物園站(2號出口),24.997659,121.578752,文山行政中心,24.989902,121.569984,10,0.0684931506849315
6,6,296,315,萬和二號公園,25.001545,121.536446,捷運萬隆站(1號出口),25.001447,121.539037,6,0.0136986301369863
7,7,171,247,文山運動中心,24.996842,121.559651,木柵公園,24.987144,121.560627,6,0.0136986301369863
8,8,143,262,捷運動物園站(2號出口),24.997659,121.578752,永安藝文館-表演36房,24.984144,121.569064,5,0.0
9,9,142,141,捷運木柵站,24.997996,121.57444,文山行政中心,24.989902,121.569984,5,0.0
