rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count
66,69,師範大學公館校區,25.007528,121.537188,興豐公園,24.999837,121.547778,2
66,94,師範大學公館校區,25.007528,121.537188,捷運景美站,24.993254,121.541059,3
66,315,師範大學公館校區,25.007528,121.537188,捷運萬隆站(1號出口),25.001447,121.539037,6
69,66,興豐公園,24.999837,121.547778,師範大學公館校區,25.007528,121.537188,8
69,98,興豐公園,24.999837,121.547778,羅斯福景隆街口,24.999378,121.540197,9
69,166,興豐公園,24.999837,121.547778,臺北市立景美女中,24.980602,121.556177,2
69,206,興豐公園,24.999837,121.547778,捷運辛亥站,25.005386,121.55716,2
69,315,興豐公園,24.999837,121.547778,捷運萬隆站(1號出口),25.001447,121.539037,15
69,369,興豐公園,24.999837,121.547778,世新大學,24.98862,121.54361,2
69,391,興豐公園,24.999837,121.547778,景仁公園,24.9966,121.540295,4
94,66,捷運景美站,24.993254,121.541059,師範大學公館校區,25.007528,121.537188,2
94,98,捷運景美站,24.993254,121.541059,羅斯福景隆街口,24.999378,121.540197,8
94,104,捷運景美站,24.993254,121.541059,台北花木批發市場,25.004023,121.54074,4
94,142,捷運景美站,24.993254,121.541059,捷運木柵站,24.997996,121.57444,4
94,151,捷運景美站,24.993254,121.541059,考試院,24.987507,121.549827,35
94,296,捷運景美站,24.993254,121.541059,萬和二號公園,25.001545,121.536446,6
94,315,捷運景美站,24.993254,121.541059,捷運萬隆站(1號出口),25.001447,121.539037,4
94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,71
94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,23
94,391,捷運景美站,24.993254,121.541059,景仁公園,24.9966,121.540295,4
98,69,羅斯福景隆街口,24.999378,121.540197,興豐公園,24.999837,121.547778,2
98,94,羅斯福景隆街口,24.999378,121.540197,捷運景美站,24.993254,121.541059,2
98,206,羅斯福景隆街口,24.999378,121.540197,捷運辛亥站,25.005386,121.55716,2
98,315,羅斯福景隆街口,24.999378,121.540197,捷運萬隆站(1號出口),25.001447,121.539037,2
104,66,台北花木批發市場,25.004023,121.54074,師範大學公館校區,25.007528,121.537188,16
104,94,台北花木批發市場,25.004023,121.54074,捷運景美站,24.993254,121.541059,7
104,315,台北花木批發市場,25.004023,121.54074,捷運萬隆站(1號出口),25.001447,121.539037,2
104,391,台北花木批發市場,25.004023,121.54074,景仁公園,24.9966,121.540295,2
141,142,文山行政中心,24.989902,121.569984,捷運木柵站,24.997996,121.57444,12
141,369,文山行政中心,24.989902,121.569984,世新大學,24.98862,121.54361,2
142,141,捷運木柵站,24.997996,121.57444,文山行政中心,24.989902,121.569984,8
142,171,捷運木柵站,24.997996,121.57444,文山運動中心,24.996842,121.559651,2
142,205,捷運木柵站,24.997996,121.57444,木柵光輝路口,24.988241,121.55561,2
142,335,捷運木柵站,24.997996,121.57444,景文中學,24.986301,121.567855,2
143,141,捷運動物園站(2號出口),24.997659,121.578752,文山行政中心,24.989902,121.569984,7
143,166,捷運動物園站(2號出口),24.997659,121.578752,臺北市立景美女中,24.980602,121.556177,2
143,262,捷運動物園站(2號出口),24.997659,121.578752,永安藝文館-表演36房,24.984144,121.569064,2
151,94,考試院,24.987507,121.549827,捷運景美站,24.993254,121.541059,8
151,262,考試院,24.987507,121.549827,永安藝文館-表演36房,24.984144,121.569064,2
166,141,臺北市立景美女中,24.980602,121.556177,文山行政中心,24.989902,121.569984,18
166,171,臺北市立景美女中,24.980602,121.556177,文山運動中心,24.996842,121.559651,2
166,335,臺北市立景美女中,24.980602,121.556177,景文中學,24.986301,121.567855,3
171,151,文山運動中心,24.996842,121.559651,考試院,24.987507,121.549827,4
205,151,木柵光輝路口,24.988241,121.55561,考試院,24.987507,121.549827,2
205,166,木柵光輝路口,24.988241,121.55561,臺北市立景美女中,24.980602,121.556177,2
206,94,捷運辛亥站,25.005386,121.55716,捷運景美站,24.993254,121.541059,2
228,94,捷運萬芳社區站,24.998811,121.56789,捷運景美站,24.993254,121.541059,4
228,141,捷運萬芳社區站,24.998811,121.56789,文山行政中心,24.989902,121.569984,2
228,171,捷運萬芳社區站,24.998811,121.56789,文山運動中心,24.996842,121.559651,2
228,335,捷運萬芳社區站,24.998811,121.56789,景文中學,24.986301,121.567855,2
247,141,木柵公園,24.987144,121.560627,文山行政中心,24.989902,121.569984,2
247,171,木柵公園,24.987144,121.560627,文山運動中心,24.996842,121.559651,4
262,141,永安藝文館-表演36房,24.984144,121.569064,文山行政中心,24.989902,121.569984,6
262,142,永安藝文館-表演36房,24.984144,121.569064,捷運木柵站,24.997996,121.57444,8
262,272,永安藝文館-表演36房,24.984144,121.569064,忠順區民活動中心,24.984707,121.563125,2
