date,Val_cat,value,trip_time_index
2021-11-01,00-4min,64,
2021-11-01,05-9min,191,
2021-11-01,10-14min,153,
2021-11-01,15-19min,61,
2021-11-01,20 min up,100,
2021-11-02,00-4min,71,
2021-11-02,05-9min,191,
2021-11-02,10-14min,122,
2021-11-02,15-19min,52,
2021-11-02,20 min up,95,
2021-11-03,00-4min,64,
2021-11-03,05-9min,183,
2021-11-03,10-14min,118,
2021-11-03,15-19min,51,
2021-11-03,20 min up,85,
2021-11-04,00-4min,71,
2021-11-04,05-9min,193,
2021-11-04,10-14min,135,
2021-11-04,15-19min,57,
2021-11-04,20 min up,87,
2021-11-05,00-4min,77,
2021-11-05,05-9min,208,
2021-11-05,10-14min,179,
2021-11-05,15-19min,74,
2021-11-05,20 min up,119,
2021-11-06,00-4min,42,
2021-11-06,05-9min,183,
2021-11-06,10-14min,160,
2021-11-06,15-19min,84,
2021-11-06,20 min up,152,
2021-11-07,00-4min,41,
2021-11-07,05-9min,148,
2021-11-07,10-14min,139,
2021-11-07,15-19min,67,
2021-11-07,20 min up,110,
2021-11-08,00-4min,51,
2021-11-08,05-9min,115,
2021-11-08,10-14min,92,
2021-11-08,15-19min,39,
2021-11-08,20 min up,70,
2021-11-09,00-4min,78,
2021-11-09,05-9min,179,
2021-11-09,10-14min,133,
2021-11-09,15-19min,45,
2021-11-09,20 min up,91,
2021-11-10,00-4min,77,
2021-11-10,05-9min,175,
2021-11-10,10-14min,144,
2021-11-10,15-19min,49,
2021-11-10,20 min up,90,
2021-11-11,00-4min,69,
2021-11-11,05-9min,219,
2021-11-11,10-14min,163,
2021-11-11,15-19min,62,
2021-11-11,20 min up,106,
2021-11-12,00-4min,49,
2021-11-12,05-9min,165,
2021-11-12,10-14min,119,
2021-11-12,15-19min,44,
2021-11-12,20 min up,88,
2021-11-13,00-4min,31,
2021-11-13,05-9min,125,
2021-11-13,10-14min,102,
2021-11-13,15-19min,38,
2021-11-13,20 min up,67,
2021-11-14,00-4min,33,
2021-11-14,05-9min,124,
2021-11-14,10-14min,130,
2021-11-14,15-19min,46,
2021-11-14,20 min up,97,
2021-11-15,00-4min,82,
2021-11-15,05-9min,171,
2021-11-15,10-14min,150,
2021-11-15,15-19min,46,
2021-11-15,20 min up,104,
2021-11-16,00-4min,89,
2021-11-16,05-9min,185,
2021-11-16,10-14min,140,
2021-11-16,15-19min,59,
2021-11-16,20 min up,117,
2021-11-17,00-4min,79,
2021-11-17,05-9min,174,
2021-11-17,10-14min,159,
2021-11-17,15-19min,51,
2021-11-17,20 min up,82,
2021-11-18,00-4min,65,
2021-11-18,05-9min,148,
2021-11-18,10-14min,100,
2021-11-18,15-19min,37,
2021-11-18,20 min up,67,
2021-11-19,00-4min,83,
2021-11-19,05-9min,197,
2021-11-19,10-14min,166,
2021-11-19,15-19min,71,
2021-11-19,20 min up,112,
2021-11-20,00-4min,35,
2021-11-20,05-9min,120,
2021-11-20,10-14min,81,
2021-11-20,15-19min,27,
2021-11-20,20 min up,63,
2021-11-21,00-4min,31,
2021-11-21,05-9min,164,
2021-11-21,10-14min,144,
2021-11-21,15-19min,73,
2021-11-21,20 min up,100,
2021-11-22,00-4min,75,
2021-11-22,05-9min,132,
2021-11-22,10-14min,91,
2021-11-22,15-19min,34,
2021-11-22,20 min up,62,
2021-11-23,00-4min,32,
2021-11-23,05-9min,82,
2021-11-23,10-14min,45,
2021-11-23,15-19min,20,
2021-11-23,20 min up,35,
2021-11-24,00-4min,78,
2021-11-24,05-9min,171,
2021-11-24,10-14min,128,
2021-11-24,15-19min,61,
2021-11-24,20 min up,93,
2021-11-25,00-4min,64,
2021-11-25,05-9min,162,
2021-11-25,10-14min,116,
2021-11-25,15-19min,45,
2021-11-25,20 min up,73,
2021-11-26,00-4min,41,
2021-11-26,05-9min,82,
2021-11-26,10-14min,55,
2021-11-26,15-19min,31,
2021-11-26,20 min up,45,
2021-11-27,00-4min,14,
2021-11-27,05-9min,58,
2021-11-27,10-14min,31,
2021-11-27,15-19min,11,
2021-11-27,20 min up,18,
2021-11-28,00-4min,29,
2021-11-28,05-9min,123,
2021-11-28,10-14min,94,
2021-11-28,15-19min,47,
2021-11-28,20 min up,92,
2021-11-29,00-4min,64,
2021-11-29,05-9min,160,
2021-11-29,10-14min,132,
2021-11-29,15-19min,64,
2021-11-29,20 min up,95,
2021-11-30,00-4min,63,
2021-11-30,05-9min,147,
2021-11-30,10-14min,103,
2021-11-30,15-19min,48,
2021-11-30,20 min up,74,
