rent_sno,date,Val_cat,value
1,2021-11-01,0.0-10.0,277
1,2021-11-01,10.0-20.0,222
1,2021-11-01,20.0-30.0,58
1,2021-11-01,30.0-40.0,19
1,2021-11-01,40.0-50.0,16
1,2021-11-01,50.0-60.0,6
1,2021-11-01,60.0-70.0,3
1,2021-11-01,>1hour,19
1,2021-11-02,0.0-10.0,276
1,2021-11-02,10.0-20.0,193
1,2021-11-02,20.0-30.0,50
1,2021-11-02,30.0-40.0,22
1,2021-11-02,40.0-50.0,6
1,2021-11-02,50.0-60.0,10
1,2021-11-02,60.0-70.0,1
1,2021-11-02,>1hour,19
1,2021-11-03,0.0-10.0,289
1,2021-11-03,10.0-20.0,180
1,2021-11-03,20.0-30.0,50
1,2021-11-03,30.0-40.0,16
1,2021-11-03,40.0-50.0,7
1,2021-11-03,50.0-60.0,11
1,2021-11-03,60.0-70.0,3
1,2021-11-03,>1hour,12
1,2021-11-04,0.0-10.0,300
1,2021-11-04,10.0-20.0,222
1,2021-11-04,20.0-30.0,59
1,2021-11-04,30.0-40.0,23
1,2021-11-04,40.0-50.0,6
1,2021-11-04,50.0-60.0,4
1,2021-11-04,60.0-70.0,1
1,2021-11-04,>1hour,17
1,2021-11-05,0.0-10.0,325
1,2021-11-05,10.0-20.0,288
1,2021-11-05,20.0-30.0,70
1,2021-11-05,30.0-40.0,28
1,2021-11-05,40.0-50.0,13
1,2021-11-05,50.0-60.0,9
1,2021-11-05,60.0-70.0,1
1,2021-11-05,>1hour,18
1,2021-11-06,0.0-10.0,196
1,2021-11-06,10.0-20.0,253
1,2021-11-06,20.0-30.0,82
1,2021-11-06,30.0-40.0,35
1,2021-11-06,40.0-50.0,13
1,2021-11-06,50.0-60.0,11
1,2021-11-06,60.0-70.0,2
1,2021-11-06,>1hour,39
1,2021-11-07,0.0-10.0,178
1,2021-11-07,10.0-20.0,208
1,2021-11-07,20.0-30.0,80
1,2021-11-07,30.0-40.0,28
1,2021-11-07,40.0-50.0,16
1,2021-11-07,50.0-60.0,12
1,2021-11-07,60.0-70.0,5
1,2021-11-07,>1hour,19
1,2021-11-08,0.0-10.0,182
1,2021-11-08,10.0-20.0,151
1,2021-11-08,20.0-30.0,37
1,2021-11-08,30.0-40.0,10
1,2021-11-08,40.0-50.0,8
1,2021-11-08,50.0-60.0,6
1,2021-11-08,>1hour,8
1,2021-11-09,0.0-10.0,270
1,2021-11-09,10.0-20.0,213
1,2021-11-09,20.0-30.0,49
1,2021-11-09,30.0-40.0,10
1,2021-11-09,40.0-50.0,13
1,2021-11-09,50.0-60.0,8
1,2021-11-09,60.0-70.0,2
1,2021-11-09,>1hour,18
1,2021-11-10,0.0-10.0,285
1,2021-11-10,10.0-20.0,212
1,2021-11-10,20.0-30.0,45
1,2021-11-10,30.0-40.0,17
1,2021-11-10,40.0-50.0,10
1,2021-11-10,50.0-60.0,5
1,2021-11-10,60.0-70.0,1
1,2021-11-10,>1hour,11
1,2021-11-11,0.0-10.0,336
1,2021-11-11,10.0-20.0,226
1,2021-11-11,20.0-30.0,54
1,2021-11-11,30.0-40.0,32
1,2021-11-11,40.0-50.0,18
1,2021-11-11,50.0-60.0,5
1,2021-11-11,60.0-70.0,1
1,2021-11-11,>1hour,22
1,2021-11-12,0.0-10.0,211
1,2021-11-12,10.0-20.0,210
1,2021-11-12,20.0-30.0,65
1,2021-11-12,30.0-40.0,14
1,2021-11-12,40.0-50.0,9
1,2021-11-12,50.0-60.0,5
1,2021-11-12,>1hour,7
1,2021-11-13,0.0-10.0,145
1,2021-11-13,10.0-20.0,163
1,2021-11-13,20.0-30.0,50
1,2021-11-13,30.0-40.0,19
1,2021-11-13,40.0-50.0,9
1,2021-11-13,50.0-60.0,5
1,2021-11-13,>1hour,8
1,2021-11-14,0.0-10.0,188
1,2021-11-14,10.0-20.0,197
1,2021-11-14,20.0-30.0,65
1,2021-11-14,30.0-40.0,33
1,2021-11-14,40.0-50.0,17
1,2021-11-14,50.0-60.0,2
1,2021-11-14,60.0-70.0,1
1,2021-11-14,>1hour,9
1,2021-11-15,0.0-10.0,300
1,2021-11-15,10.0-20.0,229
1,2021-11-15,20.0-30.0,63
1,2021-11-15,30.0-40.0,22
1,2021-11-15,40.0-50.0,12
1,2021-11-15,50.0-60.0,2
1,2021-11-15,60.0-70.0,3
1,2021-11-15,>1hour,16
1,2021-11-16,0.0-10.0,322
1,2021-11-16,10.0-20.0,237
1,2021-11-16,20.0-30.0,67
1,2021-11-16,30.0-40.0,26
1,2021-11-16,40.0-50.0,10
1,2021-11-16,50.0-60.0,6
1,2021-11-16,>1hour,17
1,2021-11-17,0.0-10.0,293
1,2021-11-17,10.0-20.0,217
1,2021-11-17,20.0-30.0,51
1,2021-11-17,30.0-40.0,17
1,2021-11-17,40.0-50.0,12
1,2021-11-17,50.0-60.0,10
1,2021-11-17,>1hour,14
1,2021-11-18,0.0-10.0,244
1,2021-11-18,10.0-20.0,181
1,2021-11-18,20.0-30.0,51
1,2021-11-18,30.0-40.0,18
1,2021-11-18,40.0-50.0,3
1,2021-11-18,50.0-60.0,4
1,2021-11-18,>1hour,7
1,2021-11-19,0.0-10.0,302
1,2021-11-19,10.0-20.0,223
1,2021-11-19,20.0-30.0,77
1,2021-11-19,30.0-40.0,22
1,2021-11-19,40.0-50.0,16
1,2021-11-19,50.0-60.0,9
1,2021-11-19,60.0-70.0,1
1,2021-11-19,>1hour,17
1,2021-11-20,0.0-10.0,142
1,2021-11-20,10.0-20.0,184
1,2021-11-20,20.0-30.0,42
1,2021-11-20,30.0-40.0,23
1,2021-11-20,40.0-50.0,8
1,2021-11-20,50.0-60.0,3
1,2021-11-20,>1hour,17
1,2021-11-21,0.0-10.0,196
1,2021-11-21,10.0-20.0,230
