return_sno,date,0
1,2021-11-01,569
1,2021-11-02,531
1,2021-11-03,501
1,2021-11-04,543
1,2021-11-05,657
1,2021-11-06,621
1,2021-11-07,505
1,2021-11-08,367
1,2021-11-09,526
1,2021-11-10,535
1,2021-11-11,619
1,2021-11-12,465
1,2021-11-13,363
1,2021-11-14,430
1,2021-11-15,553
1,2021-11-16,590
1,2021-11-17,545
1,2021-11-18,417
1,2021-11-19,629
1,2021-11-20,326
1,2021-11-21,512
1,2021-11-22,394
1,2021-11-23,214
1,2021-11-24,531
1,2021-11-25,460
1,2021-11-26,254
1,2021-11-27,132
1,2021-11-28,385
1,2021-11-29,515
1,2021-11-30,435
2,2021-11-01,484
2,2021-11-02,461
2,2021-11-03,475
2,2021-11-04,519
2,2021-11-05,567
2,2021-11-06,416
2,2021-11-07,351
2,2021-11-08,333
2,2021-11-09,484
2,2021-11-10,465
2,2021-11-11,474
2,2021-11-12,429
2,2021-11-13,272
2,2021-11-14,278
2,2021-11-15,513
2,2021-11-16,503
2,2021-11-17,525
2,2021-11-18,408
2,2021-11-19,500
2,2021-11-20,217
2,2021-11-21,295
2,2021-11-22,323
2,2021-11-23,241
2,2021-11-24,401
2,2021-11-25,310
2,2021-11-26,196
2,2021-11-27,69
2,2021-11-28,243
2,2021-11-29,390
2,2021-11-30,325
3,2021-11-01,180
3,2021-11-02,162
3,2021-11-03,147
3,2021-11-04,183
3,2021-11-05,183
3,2021-11-06,121
3,2021-11-07,91
3,2021-11-08,83
3,2021-11-09,156
3,2021-11-10,149
3,2021-11-11,188
3,2021-11-12,124
3,2021-11-13,69
3,2021-11-14,85
3,2021-11-15,157
3,2021-11-16,175
3,2021-11-17,176
3,2021-11-18,106
3,2021-11-19,160
3,2021-11-20,63
3,2021-11-21,103
3,2021-11-22,86
3,2021-11-23,68
3,2021-11-24,142
3,2021-11-25,137
3,2021-11-26,63
3,2021-11-27,24
3,2021-11-28,86
3,2021-11-29,179
3,2021-11-30,136
4,2021-11-01,70
4,2021-11-02,67
4,2021-11-03,70
4,2021-11-04,76
4,2021-11-05,85
4,2021-11-06,48
4,2021-11-07,43
4,2021-11-08,29
4,2021-11-09,54
4,2021-11-10,74
4,2021-11-11,77
4,2021-11-12,51
4,2021-11-13,29
4,2021-11-14,43
4,2021-11-15,73
4,2021-11-16,68
4,2021-11-17,73
4,2021-11-18,47
4,2021-11-19,68
4,2021-11-20,30
4,2021-11-21,43
4,2021-11-22,51
4,2021-11-23,29
4,2021-11-24,63
4,2021-11-25,73
4,2021-11-26,38
4,2021-11-27,16
4,2021-11-28,49
4,2021-11-29,66
4,2021-11-30,57
5,2021-11-01,489
5,2021-11-02,531
5,2021-11-03,475
5,2021-11-04,509
5,2021-11-05,575
5,2021-11-06,387
5,2021-11-07,304
5,2021-11-08,290
5,2021-11-09,473
5,2021-11-10,459
5,2021-11-11,539
5,2021-11-12,351
5,2021-11-13,262
5,2021-11-14,289
5,2021-11-15,510
5,2021-11-16,513
5,2021-11-17,487
5,2021-11-18,400
5,2021-11-19,487
5,2021-11-20,211
5,2021-11-21,332
5,2021-11-22,345
5,2021-11-23,230
5,2021-11-24,482
5,2021-11-25,430
5,2021-11-26,170
5,2021-11-27,100
5,2021-11-28,297
5,2021-11-29,482
5,2021-11-30,416
6,2021-11-01,286
6,2021-11-02,277
6,2021-11-03,298
6,2021-11-04,315
6,2021-11-05,386
6,2021-11-06,318
6,2021-11-07,267
6,2021-11-08,137
6,2021-11-09,292
6,2021-11-10,296
6,2021-11-11,298
6,2021-11-12,247
6,2021-11-13,192
6,2021-11-14,253
6,2021-11-15,312
6,2021-11-16,296
6,2021-11-17,285
6,2021-11-18,235
6,2021-11-19,327
6,2021-11-20,165
6,2021-11-21,282
6,2021-11-22,171
6,2021-11-23,128
6,2021-11-24,285
6,2021-11-25,248
6,2021-11-26,121
6,2021-11-27,78
6,2021-11-28,227
6,2021-11-29,262
6,2021-11-30,222
7,2021-11-01,238
7,2021-11-02,204
7,2021-11-03,228
7,2021-11-04,206
7,2021-11-05,238
7,2021-11-06,200
7,2021-11-07,175
7,2021-11-08,113
7,2021-11-09,215
7,2021-11-10,232
7,2021-11-11,232
7,2021-11-12,144
7,2021-11-13,110
7,2021-11-14,183
7,2021-11-15,212
7,2021-11-16,215
7,2021-11-17,237
7,2021-11-18,162
7,2021-11-19,208
7,2021-11-20,102
7,2021-11-21,177
7,2021-11-22,133
7,2021-11-23,91
7,2021-11-24,203
7,2021-11-25,198
7,2021-11-26,92
7,2021-11-27,35
7,2021-11-28,197
7,2021-11-29,223
7,2021-11-30,171
8,2021-11-01,71
8,2021-11-02,69
8,2021-11-03,62
8,2021-11-04,65
8,2021-11-05,88
8,2021-11-06,64
8,2021-11-07,55
8,2021-11-08,35
8,2021-11-09,62
8,2021-11-10,75
8,2021-11-11,69
8,2021-11-12,46
8,2021-11-13,56
8,2021-11-14,46
8,2021-11-15,78
8,2021-11-16,70
8,2021-11-17,82
8,2021-11-18,56
8,2021-11-19,80
8,2021-11-20,29
8,2021-11-21,58
8,2021-11-22,44
8,2021-11-23,23
8,2021-11-24,60
8,2021-11-25,64
8,2021-11-26,31
8,2021-11-27,9
8,2021-11-28,61
8,2021-11-29,66
8,2021-11-30,48
9,2021-11-01,150
9,2021-11-02,162
9,2021-11-03,152
9,2021-11-04,136
9,2021-11-05,163
9,2021-11-06,94
9,2021-11-07,108
9,2021-11-08,95
9,2021-11-09,174
9,2021-11-10,139
9,2021-11-11,174
9,2021-11-12,104
9,2021-11-13,76
9,2021-11-14,97
9,2021-11-15,154
9,2021-11-16,156
9,2021-11-17,163
9,2021-11-18,145
9,2021-11-19,159
9,2021-11-20,80
9,2021-11-21,102
9,2021-11-22,113
9,2021-11-23,83
9,2021-11-24,145
9,2021-11-25,139
9,2021-11-26,64
9,2021-11-27,34
9,2021-11-28,76
9,2021-11-29,162
9,2021-11-30,126
10,2021-11-01,319
10,2021-11-02,284
10,2021-11-03,277
10,2021-11-04,264
10,2021-11-05,355
10,2021-11-06,283
10,2021-11-07,234
10,2021-11-08,179
10,2021-11-09,291
10,2021-11-10,305
10,2021-11-11,319
10,2021-11-12,229
10,2021-11-13,149
10,2021-11-14,212
10,2021-11-15,333
10,2021-11-16,320
10,2021-11-17,319
10,2021-11-18,252
10,2021-11-19,300
10,2021-11-20,163
10,2021-11-21,246
10,2021-11-22,217
10,2021-11-23,143
10,2021-11-24,305
10,2021-11-25,268
10,2021-11-26,147
10,2021-11-27,71
10,2021-11-28,230
10,2021-11-29,292
10,2021-11-30,236
11,2021-11-01,190
11,2021-11-02,204
11,2021-11-03,197
11,2021-11-04,218
11,2021-11-05,227
11,2021-11-06,162
11,2021-11-07,142
11,2021-11-08,141
11,2021-11-09,189
