date,Val_cat,value,trip_time_index
2021-11-03,20 min up,4,
2021-11-05,05-9min,1,
2021-11-05,20 min up,4,
2021-11-06,20 min up,16,
2021-11-07,20 min up,3,
2021-11-08,20 min up,1,
2021-11-09,10-14min,1,
2021-11-10,20 min up,5,
2021-11-13,20 min up,2,
2021-11-14,20 min up,2,
2021-11-15,15-19min,2,
2021-11-15,20 min up,2,
2021-11-17,10-14min,1,
2021-11-17,20 min up,1,
2021-11-19,20 min up,3,
2021-11-20,20 min up,1,
2021-11-21,10-14min,1,
2021-11-21,20 min up,9,
2021-11-22,20 min up,1,
2021-11-23,05-9min,1,
2021-11-24,20 min up,1,
2021-11-25,20 min up,2,
2021-11-28,05-9min,1,
2021-11-28,20 min up,3,
2021-11-29,20 min up,2,
