,index,rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count,count_nor
0,0,388,94,景華街128巷口,24.995563,121.547092,捷運景美站,24.993254,121.541059,69,1.0
1,1,94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,39,0.4642857142857143
2,2,391,315,景仁公園,24.9966,121.540295,捷運萬隆站(1號出口),25.001447,121.539037,35,0.39285714285714285
3,3,315,391,捷運萬隆站(1號出口),25.001447,121.539037,景仁公園,24.9966,121.540295,27,0.25
4,4,315,69,捷運萬隆站(1號出口),25.001447,121.539037,興豐公園,24.999837,121.547778,19,0.10714285714285714
5,5,94,151,捷運景美站,24.993254,121.541059,考試院,24.987507,121.549827,17,0.07142857142857142
6,6,94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,16,0.05357142857142857
7,7,94,69,捷運景美站,24.993254,121.541059,興豐公園,24.999837,121.547778,16,0.05357142857142857
8,8,69,94,興豐公園,24.999837,121.547778,捷運景美站,24.993254,121.541059,14,0.017857142857142856
9,9,66,315,師範大學公館校區,25.007528,121.537188,捷運萬隆站(1號出口),25.001447,121.539037,13,0.0
