,index,rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count,count_nor
0,0,388,94,景華街128巷口,24.995563,121.547092,捷運景美站,24.993254,121.541059,79,1.0
1,1,94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,77,0.9655172413793104
2,2,391,315,景仁公園,24.9966,121.540295,捷運萬隆站(1號出口),25.001447,121.539037,50,0.5
3,3,315,69,捷運萬隆站(1號出口),25.001447,121.539037,興豐公園,24.999837,121.547778,28,0.1206896551724138
4,4,94,391,捷運景美站,24.993254,121.541059,景仁公園,24.9966,121.540295,25,0.06896551724137931
5,5,315,391,捷運萬隆站(1號出口),25.001447,121.539037,景仁公園,24.9966,121.540295,24,0.05172413793103448
6,6,369,94,世新大學,24.98862,121.54361,捷運景美站,24.993254,121.541059,23,0.034482758620689655
7,7,94,69,捷運景美站,24.993254,121.541059,興豐公園,24.999837,121.547778,23,0.034482758620689655
8,8,315,94,捷運萬隆站(1號出口),25.001447,121.539037,捷運景美站,24.993254,121.541059,21,0.0
9,9,94,151,捷運景美站,24.993254,121.541059,考試院,24.987507,121.549827,21,0.0
