,index,rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count,count_nor
0,0,315,391,捷運萬隆站(1號出口),25.001447,121.539037,景仁公園,24.9966,121.540295,147,1.0
1,1,391,315,景仁公園,24.9966,121.540295,捷運萬隆站(1號出口),25.001447,121.539037,136,0.9098360655737705
2,2,94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,124,0.8114754098360656
3,3,388,94,景華街128巷口,24.995563,121.547092,捷運景美站,24.993254,121.541059,107,0.6721311475409836
4,4,369,94,世新大學,24.98862,121.54361,捷運景美站,24.993254,121.541059,65,0.32786885245901637
5,5,94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,49,0.19672131147540983
6,6,315,296,捷運萬隆站(1號出口),25.001447,121.539037,萬和二號公園,25.001545,121.536446,32,0.05737704918032787
7,7,315,69,捷運萬隆站(1號出口),25.001447,121.539037,興豐公園,24.999837,121.547778,29,0.03278688524590164
8,8,94,69,捷運景美站,24.993254,121.541059,興豐公園,24.999837,121.547778,25,0.0
9,9,315,66,捷運萬隆站(1號出口),25.001447,121.539037,師範大學公館校區,25.007528,121.537188,25,0.0
