rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count
66,69,師範大學公館校區,25.007528,121.537188,興豐公園,24.999837,121.547778,2
66,94,師範大學公館校區,25.007528,121.537188,捷運景美站,24.993254,121.541059,2
66,104,師範大學公館校區,25.007528,121.537188,台北花木批發市場,25.004023,121.54074,2
66,296,師範大學公館校區,25.007528,121.537188,萬和二號公園,25.001545,121.536446,5
66,315,師範大學公館校區,25.007528,121.537188,捷運萬隆站(1號出口),25.001447,121.539037,20
69,94,興豐公園,24.999837,121.547778,捷運景美站,24.993254,121.541059,4
69,98,興豐公園,24.999837,121.547778,羅斯福景隆街口,24.999378,121.540197,2
69,104,興豐公園,24.999837,121.547778,台北花木批發市場,25.004023,121.54074,2
69,206,興豐公園,24.999837,121.547778,捷運辛亥站,25.005386,121.55716,4
69,296,興豐公園,24.999837,121.547778,萬和二號公園,25.001545,121.536446,5
69,315,興豐公園,24.999837,121.547778,捷運萬隆站(1號出口),25.001447,121.539037,10
69,388,興豐公園,24.999837,121.547778,景華街128巷口,24.995563,121.547092,2
94,69,捷運景美站,24.993254,121.541059,興豐公園,24.999837,121.547778,20
94,98,捷運景美站,24.993254,121.541059,羅斯福景隆街口,24.999378,121.540197,2
94,104,捷運景美站,24.993254,121.541059,台北花木批發市場,25.004023,121.54074,13
94,142,捷運景美站,24.993254,121.541059,捷運木柵站,24.997996,121.57444,4
94,151,捷運景美站,24.993254,121.541059,考試院,24.987507,121.549827,5
94,171,捷運景美站,24.993254,121.541059,文山運動中心,24.996842,121.559651,5
94,205,捷運景美站,24.993254,121.541059,木柵光輝路口,24.988241,121.55561,2
94,262,捷運景美站,24.993254,121.541059,永安藝文館-表演36房,24.984144,121.569064,2
94,296,捷運景美站,24.993254,121.541059,萬和二號公園,25.001545,121.536446,4
94,315,捷運景美站,24.993254,121.541059,捷運萬隆站(1號出口),25.001447,121.539037,2
94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,31
94,383,捷運景美站,24.993254,121.541059,一壽橋,24.97848,121.55545,2
94,385,捷運景美站,24.993254,121.541059,和興路26巷口,24.9856,121.54531,3
94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,55
94,391,捷運景美站,24.993254,121.541059,景仁公園,24.9966,121.540295,10
98,69,羅斯福景隆街口,24.999378,121.540197,興豐公園,24.999837,121.547778,4
98,94,羅斯福景隆街口,24.999378,121.540197,捷運景美站,24.993254,121.541059,4
98,228,羅斯福景隆街口,24.999378,121.540197,捷運萬芳社區站,24.998811,121.56789,2
98,315,羅斯福景隆街口,24.999378,121.540197,捷運萬隆站(1號出口),25.001447,121.539037,2
104,66,台北花木批發市場,25.004023,121.54074,師範大學公館校區,25.007528,121.537188,6
104,94,台北花木批發市場,25.004023,121.54074,捷運景美站,24.993254,121.541059,8
104,171,台北花木批發市場,25.004023,121.54074,文山運動中心,24.996842,121.559651,2
104,391,台北花木批發市場,25.004023,121.54074,景仁公園,24.9966,121.540295,2
141,142,文山行政中心,24.989902,121.569984,捷運木柵站,24.997996,121.57444,6
141,143,文山行政中心,24.989902,121.569984,捷運動物園站(2號出口),24.997659,121.578752,5
141,171,文山行政中心,24.989902,121.569984,文山運動中心,24.996842,121.559651,4
141,228,文山行政中心,24.989902,121.569984,捷運萬芳社區站,24.998811,121.56789,2
141,262,文山行政中心,24.989902,121.569984,永安藝文館-表演36房,24.984144,121.569064,2
141,272,文山行政中心,24.989902,121.569984,忠順區民活動中心,24.984707,121.563125,6
