,index,rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count,count_nor
0,0,369,94,世新大學,24.98862,121.54361,捷運景美站,24.993254,121.541059,76,1.0
1,1,315,391,捷運萬隆站(1號出口),25.001447,121.539037,景仁公園,24.9966,121.540295,67,0.8392857142857143
2,2,388,94,景華街128巷口,24.995563,121.547092,捷運景美站,24.993254,121.541059,64,0.7857142857142857
3,3,94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,55,0.625
4,4,391,315,景仁公園,24.9966,121.540295,捷運萬隆站(1號出口),25.001447,121.539037,47,0.48214285714285715
5,5,94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,31,0.19642857142857142
6,6,315,66,捷運萬隆站(1號出口),25.001447,121.539037,師範大學公館校區,25.007528,121.537188,26,0.10714285714285714
7,7,315,296,捷運萬隆站(1號出口),25.001447,121.539037,萬和二號公園,25.001545,121.536446,22,0.03571428571428571
8,8,66,315,師範大學公館校區,25.007528,121.537188,捷運萬隆站(1號出口),25.001447,121.539037,20,0.0
9,9,94,69,捷運景美站,24.993254,121.541059,興豐公園,24.999837,121.547778,20,0.0
