rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count
66,94,師範大學公館校區,25.007528,121.537188,捷運景美站,24.993254,121.541059,4
66,104,師範大學公館校區,25.007528,121.537188,台北花木批發市場,25.004023,121.54074,3
66,151,師範大學公館校區,25.007528,121.537188,考試院,24.987507,121.549827,2
66,296,師範大學公館校區,25.007528,121.537188,萬和二號公園,25.001545,121.536446,2
66,391,師範大學公館校區,25.007528,121.537188,景仁公園,24.9966,121.540295,4
69,94,興豐公園,24.999837,121.547778,捷運景美站,24.993254,121.541059,4
69,315,興豐公園,24.999837,121.547778,捷運萬隆站(1號出口),25.001447,121.539037,33
94,66,捷運景美站,24.993254,121.541059,師範大學公館校區,25.007528,121.537188,2
94,69,捷運景美站,24.993254,121.541059,興豐公園,24.999837,121.547778,4
94,104,捷運景美站,24.993254,121.541059,台北花木批發市場,25.004023,121.54074,4
94,151,捷運景美站,24.993254,121.541059,考試院,24.987507,121.549827,11
94,262,捷運景美站,24.993254,121.541059,永安藝文館-表演36房,24.984144,121.569064,2
94,296,捷運景美站,24.993254,121.541059,萬和二號公園,25.001545,121.536446,2
94,315,捷運景美站,24.993254,121.541059,捷運萬隆站(1號出口),25.001447,121.539037,2
94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,2
94,391,捷運景美站,24.993254,121.541059,景仁公園,24.9966,121.540295,2
98,69,羅斯福景隆街口,24.999378,121.540197,興豐公園,24.999837,121.547778,2
141,262,文山行政中心,24.989902,121.569984,永安藝文館-表演36房,24.984144,121.569064,4
142,141,捷運木柵站,24.997996,121.57444,文山行政中心,24.989902,121.569984,5
142,272,捷運木柵站,24.997996,121.57444,忠順區民活動中心,24.984707,121.563125,4
143,141,捷運動物園站(2號出口),24.997659,121.578752,文山行政中心,24.989902,121.569984,10
143,262,捷運動物園站(2號出口),24.997659,121.578752,永安藝文館-表演36房,24.984144,121.569064,5
151,66,考試院,24.987507,121.549827,師範大學公館校區,25.007528,121.537188,2
151,335,考試院,24.987507,121.549827,景文中學,24.986301,121.567855,2
151,385,考試院,24.987507,121.549827,和興路26巷口,24.9856,121.54531,3
171,141,文山運動中心,24.996842,121.559651,文山行政中心,24.989902,121.569984,4
171,151,文山運動中心,24.996842,121.559651,考試院,24.987507,121.549827,2
171,247,文山運動中心,24.996842,121.559651,木柵公園,24.987144,121.560627,6
171,272,文山運動中心,24.996842,121.559651,忠順區民活動中心,24.984707,121.563125,2
228,171,捷運萬芳社區站,24.998811,121.56789,文山運動中心,24.996842,121.559651,3
247,94,木柵公園,24.987144,121.560627,捷運景美站,24.993254,121.541059,5
247,272,木柵公園,24.987144,121.560627,忠順區民活動中心,24.984707,121.563125,2
262,141,永安藝文館-表演36房,24.984144,121.569064,文山行政中心,24.989902,121.569984,2
262,142,永安藝文館-表演36房,24.984144,121.569064,捷運木柵站,24.997996,121.57444,4
272,335,忠順區民活動中心,24.984707,121.563125,景文中學,24.986301,121.567855,2
296,315,萬和二號公園,25.001545,121.536446,捷運萬隆站(1號出口),25.001447,121.539037,6
315,66,捷運萬隆站(1號出口),25.001447,121.539037,師範大學公館校區,25.007528,121.537188,2
315,69,捷運萬隆站(1號出口),25.001447,121.539037,興豐公園,24.999837,121.547778,4
315,206,捷運萬隆站(1號出口),25.001447,121.539037,捷運辛亥站,25.005386,121.55716,2
315,391,捷運萬隆站(1號出口),25.001447,121.539037,景仁公園,24.9966,121.540295,31
335,166,景文中學,24.986301,121.567855,臺北市立景美女中,24.980602,121.556177,2
335,262,景文中學,24.986301,121.567855,永安藝文館-表演36房,24.984144,121.569064,5
369,66,世新大學,24.98862,121.54361,師範大學公館校區,25.007528,121.537188,2
369,205,世新大學,24.98862,121.54361,木柵光輝路口,24.988241,121.55561,2
388,69,景華街128巷口,24.995563,121.547092,興豐公園,24.999837,121.547778,2
388,94,景華街128巷口,24.995563,121.547092,捷運景美站,24.993254,121.541059,78
388,98,景華街128巷口,24.995563,121.547092,羅斯福景隆街口,24.999378,121.540197,2
391,315,景仁公園,24.9966,121.540295,捷運萬隆站(1號出口),25.001447,121.539037,52
