rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count
66,94,師範大學公館校區,25.007528,121.537188,捷運景美站,24.993254,121.541059,4
66,98,師範大學公館校區,25.007528,121.537188,羅斯福景隆街口,24.999378,121.540197,2
66,104,師範大學公館校區,25.007528,121.537188,台北花木批發市場,25.004023,121.54074,5
66,143,師範大學公館校區,25.007528,121.537188,捷運動物園站(2號出口),24.997659,121.578752,2
66,296,師範大學公館校區,25.007528,121.537188,萬和二號公園,25.001545,121.536446,22
66,315,師範大學公館校區,25.007528,121.537188,捷運萬隆站(1號出口),25.001447,121.539037,37
66,369,師範大學公館校區,25.007528,121.537188,世新大學,24.98862,121.54361,4
66,391,師範大學公館校區,25.007528,121.537188,景仁公園,24.9966,121.540295,6
69,94,興豐公園,24.999837,121.547778,捷運景美站,24.993254,121.541059,10
69,98,興豐公園,24.999837,121.547778,羅斯福景隆街口,24.999378,121.540197,2
69,104,興豐公園,24.999837,121.547778,台北花木批發市場,25.004023,121.54074,2
69,143,興豐公園,24.999837,121.547778,捷運動物園站(2號出口),24.997659,121.578752,2
69,315,興豐公園,24.999837,121.547778,捷運萬隆站(1號出口),25.001447,121.539037,4
94,66,捷運景美站,24.993254,121.541059,師範大學公館校區,25.007528,121.537188,2
94,69,捷運景美站,24.993254,121.541059,興豐公園,24.999837,121.547778,12
94,98,捷運景美站,24.993254,121.541059,羅斯福景隆街口,24.999378,121.540197,2
94,104,捷運景美站,24.993254,121.541059,台北花木批發市場,25.004023,121.54074,12
94,143,捷運景美站,24.993254,121.541059,捷運動物園站(2號出口),24.997659,121.578752,4
94,151,捷運景美站,24.993254,121.541059,考試院,24.987507,121.549827,4
94,171,捷運景美站,24.993254,121.541059,文山運動中心,24.996842,121.559651,2
94,247,捷運景美站,24.993254,121.541059,木柵公園,24.987144,121.560627,2
94,272,捷運景美站,24.993254,121.541059,忠順區民活動中心,24.984707,121.563125,3
94,296,捷運景美站,24.993254,121.541059,萬和二號公園,25.001545,121.536446,8
94,315,捷運景美站,24.993254,121.541059,捷運萬隆站(1號出口),25.001447,121.539037,4
94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,50
94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,22
94,391,捷運景美站,24.993254,121.541059,景仁公園,24.9966,121.540295,7
98,69,羅斯福景隆街口,24.999378,121.540197,興豐公園,24.999837,121.547778,4
98,94,羅斯福景隆街口,24.999378,121.540197,捷運景美站,24.993254,121.541059,18
98,296,羅斯福景隆街口,24.999378,121.540197,萬和二號公園,25.001545,121.536446,2
98,315,羅斯福景隆街口,24.999378,121.540197,捷運萬隆站(1號出口),25.001447,121.539037,4
104,66,台北花木批發市場,25.004023,121.54074,師範大學公館校區,25.007528,121.537188,4
104,69,台北花木批發市場,25.004023,121.54074,興豐公園,24.999837,121.547778,2
104,94,台北花木批發市場,25.004023,121.54074,捷運景美站,24.993254,121.541059,12
104,98,台北花木批發市場,25.004023,121.54074,羅斯福景隆街口,24.999378,121.540197,2
104,296,台北花木批發市場,25.004023,121.54074,萬和二號公園,25.001545,121.536446,2
104,391,台北花木批發市場,25.004023,121.54074,景仁公園,24.9966,121.540295,2
141,142,文山行政中心,24.989902,121.569984,捷運木柵站,24.997996,121.57444,8
141,143,文山行政中心,24.989902,121.569984,捷運動物園站(2號出口),24.997659,121.578752,2
141,166,文山行政中心,24.989902,121.569984,臺北市立景美女中,24.980602,121.556177,6
141,171,文山行政中心,24.989902,121.569984,文山運動中心,24.996842,121.559651,3
141,228,文山行政中心,24.989902,121.569984,捷運萬芳社區站,24.998811,121.56789,2
141,262,文山行政中心,24.989902,121.569984,永安藝文館-表演36房,24.984144,121.569064,2
142,141,捷運木柵站,24.997996,121.57444,文山行政中心,24.989902,121.569984,2
142,143,捷運木柵站,24.997996,121.57444,捷運動物園站(2號出口),24.997659,121.578752,10
142,166,捷運木柵站,24.997996,121.57444,臺北市立景美女中,24.980602,121.556177,3
142,262,捷運木柵站,24.997996,121.57444,永安藝文館-表演36房,24.984144,121.569064,2
142,369,捷運木柵站,24.997996,121.57444,世新大學,24.98862,121.54361,3
142,383,捷運木柵站,24.997996,121.57444,一壽橋,24.97848,121.55545,5
143,94,捷運動物園站(2號出口),24.997659,121.578752,捷運景美站,24.993254,121.541059,4
143,141,捷運動物園站(2號出口),24.997659,121.578752,文山行政中心,24.989902,121.569984,7
143,151,捷運動物園站(2號出口),24.997659,121.578752,考試院,24.987507,121.549827,4
143,335,捷運動物園站(2號出口),24.997659,121.578752,景文中學,24.986301,121.567855,2
151,94,考試院,24.987507,121.549827,捷運景美站,24.993254,121.541059,2
151,142,考試院,24.987507,121.549827,捷運木柵站,24.997996,121.57444,2
151,171,考試院,24.987507,121.549827,文山運動中心,24.996842,121.559651,2
