,index,rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count,count_nor
0,0,388,94,景華街128巷口,24.995563,121.547092,捷運景美站,24.993254,121.541059,120,1.0
1,1,391,315,景仁公園,24.9966,121.540295,捷運萬隆站(1號出口),25.001447,121.539037,77,0.5784313725490197
2,2,94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,50,0.3137254901960784
3,3,315,66,捷運萬隆站(1號出口),25.001447,121.539037,師範大學公館校區,25.007528,121.537188,49,0.30392156862745096
4,4,369,94,世新大學,24.98862,121.54361,捷運景美站,24.993254,121.541059,47,0.28431372549019607
5,5,66,315,師範大學公館校區,25.007528,121.537188,捷運萬隆站(1號出口),25.001447,121.539037,37,0.18627450980392157
6,6,296,315,萬和二號公園,25.001545,121.536446,捷運萬隆站(1號出口),25.001447,121.539037,33,0.14705882352941177
7,7,66,296,師範大學公館校區,25.007528,121.537188,萬和二號公園,25.001545,121.536446,22,0.0392156862745098
8,8,94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,22,0.0392156862745098
9,9,98,94,羅斯福景隆街口,24.999378,121.540197,捷運景美站,24.993254,121.541059,18,0.0
