,index,rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count,count_nor
0,0,388,94,景華街128巷口,24.995563,121.547092,捷運景美站,24.993254,121.541059,328,1.0
1,1,391,315,景仁公園,24.9966,121.540295,捷運萬隆站(1號出口),25.001447,121.539037,299,0.9064516129032258
2,2,315,391,捷運萬隆站(1號出口),25.001447,121.539037,景仁公園,24.9966,121.540295,272,0.8193548387096774
3,3,315,296,捷運萬隆站(1號出口),25.001447,121.539037,萬和二號公園,25.001545,121.536446,73,0.1774193548387097
4,4,94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,71,0.17096774193548386
5,5,315,66,捷運萬隆站(1號出口),25.001447,121.539037,師範大學公館校區,25.007528,121.537188,70,0.16774193548387098
6,6,94,151,捷運景美站,24.993254,121.541059,考試院,24.987507,121.549827,35,0.054838709677419356
7,7,296,315,萬和二號公園,25.001545,121.536446,捷運萬隆站(1號出口),25.001447,121.539037,24,0.01935483870967742
8,8,94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,23,0.016129032258064516
9,9,166,141,臺北市立景美女中,24.980602,121.556177,文山行政中心,24.989902,121.569984,18,0.0
