,index,rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count,count_nor
0,0,94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,303,1.0
1,1,315,391,捷運萬隆站(1號出口),25.001447,121.539037,景仁公園,24.9966,121.540295,208,0.6507352941176471
2,2,369,94,世新大學,24.98862,121.54361,捷運景美站,24.993254,121.541059,69,0.13970588235294118
3,3,391,315,景仁公園,24.9966,121.540295,捷運萬隆站(1號出口),25.001447,121.539037,67,0.1323529411764706
4,4,94,69,捷運景美站,24.993254,121.541059,興豐公園,24.999837,121.547778,58,0.09926470588235294
5,5,315,69,捷運萬隆站(1號出口),25.001447,121.539037,興豐公園,24.999837,121.547778,48,0.0625
6,6,388,94,景華街128巷口,24.995563,121.547092,捷運景美站,24.993254,121.541059,45,0.051470588235294115
7,7,94,151,捷運景美站,24.993254,121.541059,考試院,24.987507,121.549827,41,0.03676470588235294
8,8,98,69,羅斯福景隆街口,24.999378,121.540197,興豐公園,24.999837,121.547778,35,0.014705882352941176
9,9,315,296,捷運萬隆站(1號出口),25.001447,121.539037,萬和二號公園,25.001545,121.536446,31,0.0
