date,Val_cat,value,trip_time_index
2021-11-01,00-4min,2,
2021-11-01,05-9min,1,
2021-11-01,10-14min,1,
2021-11-01,15-19min,1,
2021-11-01,20 min up,3,
2021-11-02,00-4min,2,
2021-11-02,05-9min,2,
2021-11-02,20 min up,1,
2021-11-03,00-4min,1,
2021-11-03,05-9min,1,
2021-11-03,10-14min,6,
2021-11-03,15-19min,1,
2021-11-04,00-4min,1,
2021-11-04,05-9min,5,
2021-11-04,10-14min,3,
2021-11-04,15-19min,1,
2021-11-05,00-4min,1,
2021-11-05,05-9min,1,
2021-11-05,10-14min,2,
2021-11-05,15-19min,1,
2021-11-05,20 min up,4,
2021-11-06,00-4min,3,
2021-11-06,05-9min,2,
2021-11-06,10-14min,1,
2021-11-06,15-19min,2,
2021-11-06,20 min up,3,
2021-11-07,05-9min,3,
2021-11-08,00-4min,1,
2021-11-08,10-14min,2,
2021-11-08,15-19min,1,
2021-11-09,00-4min,1,
2021-11-09,05-9min,2,
2021-11-09,15-19min,2,
2021-11-10,05-9min,2,
2021-11-10,15-19min,3,
2021-11-10,20 min up,3,
2021-11-11,00-4min,1,
2021-11-11,05-9min,2,
2021-11-11,10-14min,3,
2021-11-11,20 min up,2,
2021-11-12,05-9min,3,
2021-11-12,15-19min,1,
2021-11-13,00-4min,1,
2021-11-13,05-9min,3,
2021-11-13,10-14min,1,
2021-11-14,00-4min,2,
2021-11-14,05-9min,3,
2021-11-14,10-14min,1,
2021-11-14,15-19min,1,
2021-11-14,20 min up,1,
2021-11-15,05-9min,3,
2021-11-15,10-14min,3,
2021-11-16,05-9min,6,
2021-11-17,10-14min,2,
2021-11-17,20 min up,2,
2021-11-18,00-4min,1,
2021-11-18,05-9min,5,
2021-11-18,20 min up,1,
2021-11-19,10-14min,1,
2021-11-20,05-9min,2,
2021-11-20,20 min up,2,
2021-11-21,05-9min,3,
2021-11-21,10-14min,2,
2021-11-21,15-19min,1,
2021-11-21,20 min up,4,
2021-11-22,00-4min,1,
2021-11-22,20 min up,1,
2021-11-23,05-9min,3,
2021-11-23,20 min up,1,
2021-11-24,05-9min,2,
2021-11-24,15-19min,1,
2021-11-24,20 min up,1,
2021-11-25,05-9min,1,
2021-11-25,20 min up,6,
2021-11-26,05-9min,1,
2021-11-26,10-14min,1,
2021-11-28,05-9min,4,
2021-11-28,10-14min,3,
2021-11-28,20 min up,1,
2021-11-29,05-9min,4,
2021-11-29,15-19min,2,
2021-11-29,20 min up,1,
2021-11-30,00-4min,1,
2021-11-30,05-9min,1,
2021-11-30,10-14min,3,
